apk_name,apkfile_name_new,decompile_jar,decompile_java,extract_manifest
a4_storm.com.a360lock,a4_storm.com.a360lock.apk,,,DONE
aacnet.eu.Broadnet,aacnet.eu.Broadnet.apk,,,DONE
aalto.comnet.thepreciousproject,aalto.comnet.thepreciousproject.apk,,,DONE
acaia.co.firmwareupdatepearl,acaia.co.firmwareupdatepearl.apk,,,DONE
ackmaniac.vescmonitor,ackmaniac.vescmonitor.apk,,,DONE
admin.sharedbikes.bloom,admin.sharedbikes.bloom.apk,,,DONE
advantage.smartpuck,advantage.smartpuck.apk,,,DONE
ae.udrive,ae.udrive.apk,,,DONE
aelos.lejurobot.com.aelosmini,aelos.lejurobot.com.aelosmini.apk,,,DONE
ag.amor.vibratissimo,ag.amor.vibratissimo.apk,,,DONE
agm.com,agm.com.apk,,,DONE
agraetz.lifxcc,agraetz.lifxcc.apk,,,DONE
ah.ecocktail,ah.ecocktail.apk,,,DONE
aicare.net.cn.aibrush,aicare.net.cn.aibrush.apk,,,DONE
aicare.net.cn.ianemometer,aicare.net.cn.ianemometer.apk,,,DONE
aicare.net.cn.iMultimeter,aicare.net.cn.iMultimeter.apk,,,DONE
aicare.net.cn.iPabulum,aicare.net.cn.iPabulum.apk,,,DONE
aicare.net.cn.myfit,aicare.net.cn.myfit.apk,,,DONE
aicare.net.cn.zsonic,aicare.net.cn.zsonic.apk,,,DONE
